Entity,Code,Year,consumption_per_capita
Australia,AUS,1995,61
Australia,AUS,1996,59.2
Australia,AUS,1997,59.2
Australia,AUS,1998,62.10000000000001
Australia,AUS,1999,62.5
Australia,AUS,2000,61.60000000000001
Australia,AUS,2001,62.8
Australia,AUS,2002,64
Australia,AUS,2003,66.4
Australia,AUS,2004,64.2
Australia,AUS,2005,72.5
Australia,AUS,2006,73.7
Australia,AUS,2007,77.39999999999999
Australia,AUS,2008,72.8
Australia,AUS,2009,73.80000000000001
Australia,AUS,2010,75.7
Australia,AUS,2011,79.6
Australia,AUS,2012,71.4
Australia,AUS,2013,69.3
Australia,AUS,2014,62.9
Australia,AUS,2015,62
Australia,AUS,2016,54.5
Australia,AUS,2017,62.4
Australia,AUS,2020,55
Austria,AUT,1995,47.6
Austria,AUT,1996,53.8
Austria,AUT,1997,51.8
Austria,AUT,1998,54.7
Austria,AUT,1999,53
Austria,AUT,2000,52.3
Austria,AUT,2001,52.9
Austria,AUT,2002,52.9
Austria,AUT,2003,55.699999999999996
Austria,AUT,2004,56.7
Austria,AUT,2005,58.199999999999996
Austria,AUT,2006,58.8
Austria,AUT,2007,57
Austria,AUT,2008,57.7
Austria,AUT,2009,52.599999999999994
Austria,AUT,2010,54.1
Austria,AUT,2011,56.6
Austria,AUT,2012,55.800000000000004
Austria,AUT,2013,54.1
Austria,AUT,2014,54.9
Austria,AUT,2015,51.7
Austria,AUT,2016,52.2
Austria,AUT,2017,53
Austria,AUT,2018,54.9
Austria,AUT,2019,55
Austria,AUT,2020,55.5
Belgium,BEL,1995,41.4
Belgium,BEL,1996,53.199999999999996
Belgium,BEL,1997,49.1
Belgium,BEL,1998,58.199999999999996
Belgium,BEL,1999,56.5
Belgium,BEL,2000,59.6
Belgium,BEL,2001,58.6
Belgium,BEL,2002,48.6
Belgium,BEL,2003,56.6
Belgium,BEL,2004,51.9
Belgium,BEL,2005,56.4
Belgium,BEL,2006,52.7
Belgium,BEL,2007,48.4
Belgium,BEL,2008,61.50000000000001
Belgium,BEL,2009,53.300000000000004
Belgium,BEL,2010,56.4
Belgium,BEL,2011,56.3
Belgium,BEL,2012,57.2
Belgium,BEL,2013,63.800000000000004
Belgium,BEL,2014,62.5
Belgium,BEL,2015,66.69999999999999
Belgium,BEL,2016,66.8
Belgium,BEL,2017,64.8
Belgium,BEL,2018,66.9
Belgium,BEL,2019,66.5
Belgium,BEL,2020,69.8
Brazil,BRA,1995,11.600000000000001
Brazil,BRA,1996,12.2
Brazil,BRA,1997,12.700000000000001
Brazil,BRA,1998,12.6
Brazil,BRA,1999,11.8
Brazil,BRA,2000,12
Brazil,BRA,2001,11.399999999999999
Brazil,BRA,2002,10.6
Brazil,BRA,2003,10.6
Brazil,BRA,2004,11
Brazil,BRA,2005,11.600000000000001
Brazil,BRA,2006,12.3
Brazil,BRA,2007,13.299999999999999
Brazil,BRA,2008,14.600000000000001
Brazil,BRA,2009,13.8
Brazil,BRA,2010,15.9
Brazil,BRA,2011,16.5
Brazil,BRA,2012,16.7
Brazil,BRA,2013,17.5
Brazil,BRA,2014,17.7
Brazil,BRA,2015,15.7
Brazil,BRA,2016,14.1
Brazil,BRA,2017,15.7
Brazil,BRA,2018,13.9
Brazil,BRA,2019,13.6
Brazil,BRA,2020,13.8
Bulgaria,BGR,1995,22.099999999999998
Bulgaria,BGR,1996,22.6
Bulgaria,BGR,1997,20.400000000000002
Bulgaria,BGR,1998,23.3
Bulgaria,BGR,1999,21.7
Bulgaria,BGR,2000,22.2
Bulgaria,BGR,2001,23.4
Bulgaria,BGR,2002,24.9
Bulgaria,BGR,2003,25.299999999999997
Bulgaria,BGR,2004,25.8
Bulgaria,BGR,2005,27.5
Bulgaria,BGR,2006,29.4
Bulgaria,BGR,2007,31
Bulgaria,BGR,2008,31.3
Bulgaria,BGR,2009,25.299999999999997
Bulgaria,BGR,2010,23.6
Bulgaria,BGR,2011,24.3
Bulgaria,BGR,2012,24.1
Bulgaria,BGR,2013,21.7
Bulgaria,BGR,2014,22.2
Bulgaria,BGR,2015,23.4
Bulgaria,BGR,2016,28.2
Bulgaria,BGR,2017,24.1
Bulgaria,BGR,2018,25.2
Bulgaria,BGR,2019,29.8
Bulgaria,BGR,2020,28.3
Canada,CAN,1997,88.1
Canada,CAN,1998,83
Canada,CAN,1999,85.4
Canada,CAN,2000,85
Canada,CAN,2001,78.30000000000001
Canada,CAN,2002,77.89999999999999
Canada,CAN,2003,88.9
Canada,CAN,2004,91.3
Canada,CAN,2005,93.1
Canada,CAN,2006,96.3
Canada,CAN,2007,93.39999999999999
Canada,CAN,2008,90.60000000000001
Canada,CAN,2009,81.3
Canada,CAN,2010,85.4
Canada,CAN,2011,85.6
Canada,CAN,2012,86.19999999999999
Canada,CAN,2013,83.8
Canada,CAN,2014,86.60000000000001
Canada,CAN,2015,78.1
Canada,CAN,2016,78.2
Canada,CAN,2017,85.2
Canada,CAN,2018,82.5
Canada,CAN,2019,83.30000000000001
Canada,CAN,2020,82.10000000000001
China,CHN,1995,9.1
China,CHN,1996,9.14
China,CHN,1997,8.889999999999999
China,CHN,1998,8.8
China,CHN,1999,9.15
China,CHN,2000,9.37
China,CHN,2001,9.629999999999999
China,CHN,2002,10.1
China,CHN,2003,11
China,CHN,2004,12.4
China,CHN,2005,12.799999999999999
China,CHN,2006,13.200000000000001
China,CHN,2007,14.1
China,CHN,2008,14.9
China,CHN,2009,17.099999999999998
China,CHN,2010,18.8
China,CHN,2011,20.299999999999997
China,CHN,2012,20.9
China,CHN,2013,21.7
China,CHN,2014,21.900000000000002
China,CHN,2015,22
China,CHN,2016,21.1
China,CHN,2017,22.2
China,CHN,2018,25.5
China,CHN,2019,25.5
China,CHN,2020,28.099999999999998
Croatia,HRV,1995,21.5
Croatia,HRV,1996,22.4
Croatia,HRV,1997,26.299999999999997
Croatia,HRV,1998,25.299999999999997
Croatia,HRV,1999,25.8
Croatia,HRV,2000,24.1
Croatia,HRV,2001,26.1
Croatia,HRV,2002,29.8
Croatia,HRV,2003,32.5
Croatia,HRV,2004,32.3
Croatia,HRV,2005,34.8
Croatia,HRV,2006,33.800000000000004
Croatia,HRV,2007,32.9
Croatia,HRV,2008,34.199999999999996
Croatia,HRV,2009,29
Croatia,HRV,2010,27.900000000000002
Croatia,HRV,2011,27.1
Croatia,HRV,2012,25.8
Croatia,HRV,2013,24.9
Croatia,HRV,2014,22.4
Croatia,HRV,2015,23.8
Croatia,HRV,2016,24.4
Croatia,HRV,2017,26.7
Croatia,HRV,2018,29.3
Croatia,HRV,2019,30.5
Croatia,HRV,2020,32.199999999999996
Cyprus,CYP,1995,48.6
Cyprus,CYP,1996,52.2
Cyprus,CYP,1997,50.800000000000004
Cyprus,CYP,1998,47.2
Cyprus,CYP,1999,46
Cyprus,CYP,2000,73.30000000000001
Cyprus,CYP,2001,62
Cyprus,CYP,2002,55.800000000000004
Cyprus,CYP,2003,64.39999999999999
Cyprus,CYP,2004,55.4
Cyprus,CYP,2005,55.2
Cyprus,CYP,2006,55
Cyprus,CYP,2007,56.6
Cyprus,CYP,2008,65.3
Cyprus,CYP,2009,59.1
Cyprus,CYP,2010,60.300000000000004
Cyprus,CYP,2011,50
Cyprus,CYP,2012,48
Cyprus,CYP,2013,41.9
Cyprus,CYP,2014,41.199999999999996
Cyprus,CYP,2015,42.6
Cyprus,CYP,2016,48.8
Cyprus,CYP,2017,42
Cyprus,CYP,2018,46.6
Cyprus,CYP,2019,44.4
Cyprus,CYP,2020,56.5
Czechia,CZE,1995,39.5
Czechia,CZE,1996,50.5
Czechia,CZE,1997,44.4
Czechia,CZE,1998,43.5
Czechia,CZE,1999,39.6
Czechia,CZE,2000,41.300000000000004
Czechia,CZE,2001,43.800000000000004
Czechia,CZE,2002,47.3
Czechia,CZE,2003,49.4
Czechia,CZE,2004,49.3
Czechia,CZE,2005,46.400000000000006
