Entity,Code,Year,consumption_based_energy,production_based_energy
Australia,AUS,1995,1097.415656,1060.845459
Australia,AUS,1996,1077.630654,1052.095029
Australia,AUS,1997,1087.91129,1040.117826
Australia,AUS,1998,1153.716361,1123.153285
Australia,AUS,1999,1174.221628,1099.719916
Australia,AUS,2000,1169.934041,1164.662012
Australia,AUS,2001,1205.862818,1213.896546
Australia,AUS,2002,1240.99095,1183.282506
Australia,AUS,2003,1302.649286,1216.097865
Australia,AUS,2004,1275.41211,1105.445506
Australia,AUS,2005,1462.747783,1221.77775
Australia,AUS,2006,1512.989051,1292.275358
Australia,AUS,2007,1619.377004,1350.13401
Australia,AUS,2008,1553.65483,1333.560823
Australia,AUS,2009,1605.567874,1395.675857
Australia,AUS,2010,1676.204957,1428.125299
Australia,AUS,2011,1794.948216,1485.018606
Australia,AUS,2012,1636.065376,1323.478854
Australia,AUS,2013,1611.846191,1349.755628
Australia,AUS,2014,1484.224518,1271.241086
Australia,AUS,2015,1484.764558,1302.557875
Australia,AUS,2016,1321.823249,1251.802121
Australia,AUS,2017,1533.744644,1469.492247
Australia,AUS,2020,1402.570421,1441.340591
Austria,AUT,1995,380.1128112,290.496271
Austria,AUT,1996,431.0837574,315.089439
Austria,AUT,1997,415.8472849,311.130555
Austria,AUT,1998,439.953729,332.768964
Austria,AUT,1999,426.5732229,321.03746
Austria,AUT,2000,422.2441148,318.54169
Austria,AUT,2001,428.4722673,326.350043
Austria,AUT,2002,430.5879388,336.36387
Austria,AUT,2003,455.3169819,355.989874
Austria,AUT,2004,465.8703429,368.037712
Austria,AUT,2005,480.2075753,378.986691
Austria,AUT,2006,487.0947587,380.776665
Austria,AUT,2007,474.2504211,376.379567
Austria,AUT,2008,481.221297,384.931111
Austria,AUT,2009,440.6443817,359.98643
Austria,AUT,2010,454.7001591,369.233798
Austria,AUT,2011,478.6357923,386.434113
Austria,AUT,2012,474.6456743,383.736964
Austria,AUT,2013,462.8263846,372.182186
Austria,AUT,2014,472.6652088,382.861367
Austria,AUT,2015,448.6393667,366.435821
Austria,AUT,2016,456.565948,370.5779178
Austria,AUT,2017,467.3856196,381.267258
Austria,AUT,2018,488.397282,396.9071991
Austria,AUT,2019,492.3006433,402.565977
Austria,AUT,2020,499.9565939,408.289944
Belgium,BEL,1995,421.604385,422.716404
Belgium,BEL,1996,542.8761617,494.487658
Belgium,BEL,1997,501.5683295,489.748188
Belgium,BEL,1998,596.2017054,581.413859
Belgium,BEL,1999,579.74684,564.973355
Belgium,BEL,2000,613.1492122,593.457265
Belgium,BEL,2001,604.606128,569.443858
Belgium,BEL,2002,504.0363438,466.845274
Belgium,BEL,2003,590.0561693,528.394397
Belgium,BEL,2004,543.8426396,468.421404
Belgium,BEL,2005,594.4981714,503.402072
Belgium,BEL,2006,560.0569244,463.951455
Belgium,BEL,2007,517.3294038,425.478371
Belgium,BEL,2008,662.9415799,512.363576
Belgium,BEL,2009,579.0960443,455.668878
Belgium,BEL,2010,617.3585596,501.056436
Belgium,BEL,2011,620.5143541,459.636072
Belgium,BEL,2012,633.7953687,473.824289
Belgium,BEL,2013,711.3880311,574.212967
Belgium,BEL,2014,701.0551469,558.623961
Belgium,BEL,2015,752.8173242,594.672464
Belgium,BEL,2016,758.8816343,599.1106331
Belgium,BEL,2017,739.754597,595.1497394
Belgium,BEL,2018,768.2540689,598.1348103
Belgium,BEL,2019,767.7209682,638.1663644
Belgium,BEL,2020,809.2890347,645.6591504
Brazil,BRA,1995,1876.713952,1834.670443
Brazil,BRA,1996,2005.733827,1978.71626
Brazil,BRA,1997,2117.26653,2069.56118
Brazil,BRA,1998,2143.72374,2107.986066
Brazil,BRA,1999,2039.241808,2130.748818
Brazil,BRA,2000,2096.681462,2147.558563
Brazil,BRA,2001,2021.256453,2139.564343
Brazil,BRA,2002,1908.893096,2183.885451
Brazil,BRA,2003,1923.542677,2244.945115
Brazil,BRA,2004,2030.844965,2353.587285
Brazil,BRA,2005,2164.203348,2421.714327
Brazil,BRA,2006,2319.801593,2496.020685
Brazil,BRA,2007,2528.206241,2645.515646
Brazil,BRA,2008,2808.946627,2789.926549
Brazil,BRA,2009,2681.290843,2692.29042
Brazil,BRA,2010,3106.24725,2965.375302
Brazil,BRA,2011,3254.950537,3045.407804
Brazil,BRA,2012,3319.999979,3141.250081
Brazil,BRA,2013,3509.881163,3292.956887
Brazil,BRA,2014,3593.737293,3409.338437
Brazil,BRA,2015,3203.915032,3353.106052
Brazil,BRA,2016,2910.778652,3145.678635
Brazil,BRA,2017,3264.981488,3477.696829
Brazil,BRA,2018,2921.981834,3107.372618
Brazil,BRA,2019,2877.786005,3033.402037
Brazil,BRA,2020,2922.976449,3052.361523
Bulgaria,BGR,1995,184.9081688,277.274784
Bulgaria,BGR,1996,187.0697447,278.132376
Bulgaria,BGR,1997,167.7809634,246.733041
Bulgaria,BGR,1998,189.6623954,238.082054
Bulgaria,BGR,1999,174.7611688,212.647083
Bulgaria,BGR,2000,177.8995696,218.963237
Bulgaria,BGR,2001,185.5975324,226.46412
Bulgaria,BGR,2002,196.0323959,227.570458
Bulgaria,BGR,2003,197.2878308,224.775251
Bulgaria,BGR,2004,199.6071577,227.310078
Bulgaria,BGR,2005,211.7117053,237.591487
Bulgaria,BGR,2006,224.6971559,240.116619
Bulgaria,BGR,2007,234.6914276,239.599737
Bulgaria,BGR,2008,235.2748412,234.089099
Bulgaria,BGR,2009,188.8571077,200.826385
Bulgaria,BGR,2010,175.582277,200.010897
Bulgaria,BGR,2011,179.3674579,218.342757
Bulgaria,BGR,2012,176.7150733,208.613963
Bulgaria,BGR,2013,158.1228866,192.413064
Bulgaria,BGR,2014,161.1005701,197.34311
Bulgaria,BGR,2015,168.5170667,210.99921
Bulgaria,BGR,2016,201.48426,249.3993507
Bulgaria,BGR,2017,171.3257978,227.4954597
Bulgaria,BGR,2018,177.6836891,228.4436524
Bulgaria,BGR,2019,208.5219635,262.6873332
Bulgaria,BGR,2020,196.5237086,254.5987283
Canada,CAN,1997,2618.968134,2888.186759
Canada,CAN,1998,2491.463677,2882.665318
Canada,CAN,1999,2586.598645,2893.781328
Canada,CAN,2000,2599.750088,2927.823243
Canada,CAN,2001,2417.860766,2938.287195
Canada,CAN,2002,2429.130128,2927.268412
Canada,CAN,2003,2800.43632,3084.672
Canada,CAN,2004,2905.007362,3145.063817
Canada,CAN,2005,2992.865015,3235.925634
Canada,CAN,2006,3132.130011,3313.97537
Canada,CAN,2007,3074.271309,3241.462033
Canada,CAN,2008,3019.178807,3192.913905
Canada,CAN,2009,2742.088737,3025.0893
Canada,CAN,2010,2915.087714,3032.951668
Canada,CAN,2011,2958.08723,3131.855626
Canada,CAN,2012,3011.403727,3133.187165
Canada,CAN,2013,2956.710379,3184.579806
Canada,CAN,2014,3087.423026,3377.785367
Canada,CAN,2015,2815.19563,3250.235731
Canada,CAN,2016,2844.683809,3139.037516
