Entity,Code,Year,net_energy_traded_goods_pct_domestic
Australia,AUS,1995,3.447269032
Australia,AUS,1996,2.427121509
Australia,AUS,1997,4.59500481
Australia,AUS,1998,2.721184764
Australia,AUS,1999,6.774607849
Australia,AUS,2000,0.452666037
Australia,AUS,2001,-0.661813254
Australia,AUS,2002,4.876979375
Australia,AUS,2003,7.117142779
Australia,AUS,2004,15.3753942
Australia,AUS,2005,19.72290239
Australia,AUS,2006,17.07946311
Australia,AUS,2007,19.94194595
Australia,AUS,2008,16.50423466
Australia,AUS,2009,15.03873669
Australia,AUS,2010,17.37100086
Australia,AUS,2011,20.87041933
Australia,AUS,2012,23.61855057
Australia,AUS,2013,19.41763069
Australia,AUS,2014,16.75397645
Australia,AUS,2015,13.98837526
Australia,AUS,2016,5.593625869
Australia,AUS,2017,4.37242166
Australia,AUS,2020,-2.689868785
Austria,AUT,1995,30.84946325
Austria,AUT,1996,36.81314067
Austria,AUT,1997,33.65684544
Austria,AUT,1998,32.20996442
Austria,AUT,1999,32.87334845
Austria,AUT,2000,32.55536972
Austria,AUT,2001,31.29223559
Austria,AUT,2002,28.01254153
Austria,AUT,2003,27.90166664
Austria,AUT,2004,26.58222995
Austria,AUT,2005,26.70829521
Austria,AUT,2006,27.92137844
Austria,AUT,2007,26.00323255
Austria,AUT,2008,25.01491391
Austria,AUT,2009,22.40583115
Austria,AUT,2010,23.14694962
Austria,AUT,2011,23.8596118
Austria,AUT,2012,23.69037097
Austria,AUT,2013,24.35479234
Austria,AUT,2014,23.45596857
Austria,AUT,2015,22.43327235
Austria,AUT,2016,23.20376524
Austria,AUT,2017,22.58740025
Austria,AUT,2018,23.0507492
Austria,AUT,2019,22.29067319
Austria,AUT,2020,22.45136116
Belgium,BEL,1995,-0.263065033
Belgium,BEL,1996,9.785583692
Belgium,BEL,1997,2.41351407
Belgium,BEL,1998,2.54342861
Belgium,BEL,1999,2.61489943
Belgium,BEL,2000,3.318174422
Belgium,BEL,2001,6.174844023
Belgium,BEL,2002,7.96646594
Belgium,BEL,2003,11.66964914
Belgium,BEL,2004,16.10115056
Belgium,BEL,2005,18.09609145
Belgium,BEL,2006,20.71455287
Belgium,BEL,2007,21.58770903
Belgium,BEL,2008,29.38889706
Belgium,BEL,2009,27.08703013
Belgium,BEL,2010,23.21138207
Belgium,BEL,2011,35.00123074
Belgium,BEL,2012,33.7616883
Belgium,BEL,2013,23.88923136
Belgium,BEL,2014,25.49679142
Belgium,BEL,2015,26.5936074
Belgium,BEL,2016,26.66802961
Belgium,BEL,2017,24.29722265
Belgium,BEL,2018,28.44162486
Belgium,BEL,2019,20.3010705
Belgium,BEL,2020,25.34307524
Brazil,BRA,1995,2.291610968
Brazil,BRA,1996,1.365408871
Brazil,BRA,1997,2.305094944
Brazil,BRA,1998,1.695346786
Brazil,BRA,1999,-4.294593933
Brazil,BRA,2000,-2.36906698
Brazil,BRA,2001,-5.529531779
Brazil,BRA,2002,-12.5918855
Brazil,BRA,2003,-14.31671697
Brazil,BRA,2004,-13.71278311
Brazil,BRA,2005,-10.63341685
Brazil,BRA,2006,-7.060001287
Brazil,BRA,2007,-4.434273728
Brazil,BRA,2008,0.681741119
Brazil,BRA,2009,-0.408558325
Brazil,BRA,2010,4.750560469
Brazil,BRA,2011,6.88061327
Brazil,BRA,2012,5.69040644
Brazil,BRA,2013,6.587522513
Brazil,BRA,2014,5.408640413
Brazil,BRA,2015,-4.449337947
Brazil,BRA,2016,-7.467386478
Brazil,BRA,2017,-6.116557894
Brazil,BRA,2018,-5.966158801
Brazil,BRA,2019,-5.13008267
Brazil,BRA,2020,-4.238851595
Bulgaria,BGR,1995,-33.31230265
Bulgaria,BGR,1996,-32.74075193
Bulgaria,BGR,1997,-31.99898859
Bulgaria,BGR,1998,-20.33738275
Bulgaria,BGR,1999,-17.81633383
Bulgaria,BGR,2000,-18.7536812
Bulgaria,BGR,2001,-18.04550216
Bulgaria,BGR,2002,-13.85859237
Bulgaria,BGR,2003,-12.2288464
Bulgaria,BGR,2004,-12.18728202
Bulgaria,BGR,2005,-10.89255427
Bulgaria,BGR,2006,-6.421655909
Bulgaria,BGR,2007,-2.048545402
Bulgaria,BGR,2008,0.506534546
Bulgaria,BGR,2009,-5.960012331
Bulgaria,BGR,2010,-12.21364454
Bulgaria,BGR,2011,-17.85051156
Bulgaria,BGR,2012,-15.29086992
Bulgaria,BGR,2013,-17.82112747
Bulgaria,BGR,2014,-18.36524212
Bulgaria,BGR,2015,-20.1337926
Bulgaria,BGR,2016,-19.21219546
Bulgaria,BGR,2017,-24.69045401
Bulgaria,BGR,2018,-22.21990533
Bulgaria,BGR,2019,-20.61971128
Bulgaria,BGR,2020,-22.81041231
Canada,CAN,1997,-9.321371758
Canada,CAN,1998,-13.57083109
Canada,CAN,1999,-10.61526936
Canada,CAN,2000,-11.20536071
Canada,CAN,2001,-17.71189793
Canada,CAN,2002,-17.01717144
Canada,CAN,2003,-9.214453924
Canada,CAN,2004,-7.632800767
Canada,CAN,2005,-7.511316609
Canada,CAN,2006,-5.487227213
Canada,CAN,2007,-5.157880057
Canada,CAN,2008,-5.441270981
Canada,CAN,2009,-9.355114359
Canada,CAN,2010,-3.886113813
Canada,CAN,2011,-5.548416578
Canada,CAN,2012,-3.886886756
Canada,CAN,2013,-7.155400134
Canada,CAN,2014,-8.596234209
Canada,CAN,2015,-13.38487841
Canada,CAN,2016,-9.377196161
Canada,CAN,2017,-14.6759324
Canada,CAN,2018,-13.05746442
Canada,CAN,2019,-11.52831923
Canada,CAN,2020,-11.43574606
China,CHN,1995,-9.005373865
China,CHN,1996,-10.23982067
China,CHN,1997,-10.53282673
China,CHN,1998,-11.28100013
China,CHN,1999,-7.737407797
China,CHN,2000,-9.229644566
China,CHN,2001,-6.955830266
China,CHN,2002,-8.470026681
China,CHN,2003,-9.939902338
China,CHN,2004,-11.38795961
China,CHN,2005,-16.28364497
China,CHN,2006,-19.62746
China,CHN,2007,-20.1220342
China,CHN,2008,-17.36250004
China,CHN,2009,-11.40294197
China,CHN,2010,-11.25775182
China,CHN,2011,-11.03230398
China,CHN,2012,-10.49327036
China,CHN,2013,-9.410939551
China,CHN,2014,-9.368563211
China,CHN,2015,-8.125415161
China,CHN,2016,-5.292692766
China,CHN,2017,-4.256493815
China,CHN,2018,-4.60601287
China,CHN,2019,-4.158015914
China,CHN,2020,-5.201844947
Croatia,HRV,1995,4.245566432
Croatia,HRV,1996,2.247495796
Croatia,HRV,1997,15.46191032
Croatia,HRV,1998,6.889035463
Croatia,HRV,1999,9.708157212
Croatia,HRV,2000,6.190849305
Croatia,HRV,2001,9.702159317
Croatia,HRV,2002,14.48031545
Croatia,HRV,2003,23.67329684
Croatia,HRV,2004,19.22536671
Croatia,HRV,2005,27.53165655
Croatia,HRV,2006,27.17679437
Croatia,HRV,2007,19.65192518
Croatia,HRV,2008,22.83827912
Croatia,HRV,2009,14.77039219
Croatia,HRV,2010,9.971251704
Croatia,HRV,2011,11.2226752
Croatia,HRV,2012,12.74911202
Croatia,HRV,2013,10.25369982
Croatia,HRV,2014,5.626804011
Croatia,HRV,2015,3.217011194
Croatia,HRV,2016,-0.335610439
